all,,,,52313
cctv,,,,3466
cctv,Busan,,,921
cctv,Busan,DaeGyuro,,589
cctv,Busan,DaeGyuro,0,589
cctv,Busan,GudeokSt,,136
cctv,Busan,GudeokSt,0,136
cctv,Busan,Jangjeon,,196
cctv,Busan,Jangjeon,0,196
cctv,Seongnam,,,394
cctv,Seongnam,PankyoSt,,394
cctv,Seongnam,PankyoSt,0,394
cctv,Seoul,,,2151
cctv,Seoul,BongCheonR,,252
cctv,Seoul,BongCheonR,0,252
cctv,Seoul,Cityplazza,,228
cctv,Seoul,Cityplazza,0,228
cctv,Seoul,Dobongro,,403
cctv,Seoul,Dobongro,0,403
cctv,Seoul,DosanStR,,210
cctv,Seoul,DosanStR,0,210
cctv,Seoul,GamasanSt,,340
cctv,Seoul,GamasanSt,0,340
cctv,Seoul,GangNam,,718
cctv,Seoul,GangNam,0,718
dgta,,,,1292
dgta,DGtav,,,1292
dgta,DGtav,Open,,1292
dgta,DGtav,Open,0,1292
dgta,DGtav,Open,0,1,500
dgta,DGtav,Open,0,2,500
dgta,DGtav,Open,0,3,292
open_dataset,,,,6583
open_dataset,beforedata,,,6583
open_dataset,beforedata,1,,500
open_dataset,beforedata,11,,500
open_dataset,beforedata,12,,500
open_dataset,beforedata,13,,500
open_dataset,beforedata,14,,500
open_dataset,beforedata,15,,500
open_dataset,beforedata,16,,500
open_dataset,beforedata,17,,500
open_dataset,beforedata,2,,500
open_dataset,beforedata,21,,500
open_dataset,beforedata,3,,500
open_dataset,beforedata,31,,500
open_dataset,beforedata,4,,500
open_dataset,beforedata,40,,83
youtube,,,,3060
youtube,8KVideosHdr,,,599
youtube,8KVideosHdr,Canada,,50
youtube,8KVideosHdr,Canada,0,50
youtube,8KVideosHdr,Eu,,256
youtube,8KVideosHdr,Eu,0,256
youtube,8KVideosHdr,Hawaii,,67
youtube,8KVideosHdr,Hawaii,0,67
youtube,8KVideosHdr,Usa,,226
youtube,8KVideosHdr,Usa,0,226
youtube,DroneTravelUsa,,,16
youtube,DroneTravelUsa,NewYork,,16
youtube,DroneTravelUsa,NewYork,0,16
youtube,Exploropia,,,2108
youtube,Exploropia,Bali,,99
youtube,Exploropia,Bali,0,99
youtube,Exploropia,Barcelona,,59
youtube,Exploropia,Barcelona,0,59
youtube,Exploropia,Berlin,,194
youtube,Exploropia,Berlin,0,194
youtube,Exploropia,Brazil,,97
youtube,Exploropia,Brazil,0,97
youtube,Exploropia,Busan,,76
youtube,Exploropia,Busan,0,76
youtube,Exploropia,Dublin,,83
youtube,Exploropia,Dublin,0,83
youtube,Exploropia,Frank,,81
youtube,Exploropia,Frank,0,81
youtube,Exploropia,Istanbul,,64
youtube,Exploropia,Istanbul,0,64
youtube,Exploropia,Kharkiv,,158
youtube,Exploropia,Kharkiv,0,158
youtube,Exploropia,London,,79
youtube,Exploropia,London,0,79
youtube,Exploropia,Madrid,,74
youtube,Exploropia,Madrid,0,74
youtube,Exploropia,Mariupol,,98
youtube,Exploropia,Mariupol,0,98
youtube,Exploropia,Milan,,61
youtube,Exploropia,Milan,0,61
youtube,Exploropia,Munich,,151
youtube,Exploropia,Munich,0,151
youtube,Exploropia,Rome,,67
youtube,Exploropia,Rome,0,67
youtube,Exploropia,Rotterdam,,105
youtube,Exploropia,Rotterdam,0,105
youtube,Exploropia,Singapore,,91
youtube,Exploropia,Singapore,0,91
youtube,Exploropia,Switzerland,,218
youtube,Exploropia,Switzerland,0,218
youtube,Exploropia,Tbilisi,,188
youtube,Exploropia,Tbilisi,0,188
youtube,Exploropia,Toronto,,65
youtube,Exploropia,Toronto,0,65
youtube,SterlingT,,,337
youtube,SterlingT,Seoul,,145
youtube,SterlingT,Seoul,0,145
youtube,SterlingT,Suwon,,123
youtube,SterlingT,Suwon,0,123
youtube,SterlingT,Yongin,,69
youtube,SterlingT,Yongin,0,69
